case,comparison,parameter,n,risk_difference,MCSE
cf_K8,coupled - projected_initial,cumulative_relative_1,100,-8.895763053009825,0.6748241907960228
cf_K8,coupled - projected_initial,baseline_relative_ISE_0,100,-0.03296682533950393,0.0038327460632136836
cf_K8,coupled - projected_initial,baseline_relative_ISE_1,100,-13.882173230003492,1.2400935156164754
cf_K8,coupled - projected_initial,prediction_mse,100,-0.07810373362024568,0.0010874737929425567
cf_K8,coupled - projected_initial,negative_prediction_fraction,100,0.0,0.0
cf_K8,fallback - projected_initial,treatment_0,100,-0.0027958852562550178,0.0006700910467354216
cf_K8,fallback - projected_initial,FEV10_0,100,-0.0003117228656914947,8.547255583541307e-05
cf_K8,fallback - projected_initial,treatment_1,100,-0.01932507179372648,0.003455084490725297
cf_K8,fallback - projected_initial,FEV10_1,100,-0.0016252473525145297,0.00023729730774611378
cf_K8,fallback - projected_initial,nu0,100,0.009210138404676483,0.0024822672019735007
cf_K8,fallback - projected_initial,nu1,100,-0.0010608473175800384,0.0004184333133300312
cf_K8,fallback - projected_initial,theta,100,0.0034235548629379022,0.000550617585475057
cf_K8,fallback - projected_initial,cumulative_relative_0,100,-0.01256584352222265,0.002539868232746657
cf_K8,fallback - projected_initial,cumulative_relative_1,100,-8.895763053009825,0.6748241907960228
cf_K8,fallback - projected_initial,baseline_relative_ISE_0,100,-0.03296682533950393,0.0038327460632136836
cf_K8,fallback - projected_initial,baseline_relative_ISE_1,100,-13.882173230003492,1.2400935156164754
cf_K8,fallback - projected_initial,prediction_mse,100,-0.07810373362024568,0.0010874737929425567
cf_K8,fallback - projected_initial,negative_prediction_fraction,100,0.0,0.0
cf_flat,coupled - initial,treatment_0,100,-0.0024877618643220755,0.0007441268859957543
cf_flat,coupled - initial,FEV10_0,100,-0.00024512887045909803,6.006038696172937e-05
cf_flat,coupled - initial,treatment_1,100,-0.013255121024268205,0.0028401502455078
cf_flat,coupled - initial,FEV10_1,100,-0.0012879795928992402,0.00021842266187025898
cf_flat,coupled - initial,nu0,100,0.011083696241875211,0.003307838187261681
cf_flat,coupled - initial,nu1,100,0.002243729630303717,0.0009807747959527646
cf_flat,coupled - initial,theta,100,0.0064529865146444295,0.0011364814205484972
cf_flat,coupled - initial,cumulative_relative_0,100,-0.008497239832701503,0.002187433823910114
cf_flat,coupled - initial,cumulative_relative_1,100,-6.531112439152136,0.7201110351162103
cf_flat,coupled - initial,baseline_relative_ISE_0,100,-0.02403477520719711,0.0037539213521903584
cf_flat,coupled - initial,baseline_relative_ISE_1,100,-12.077531795702596,1.6667096916815265
cf_flat,coupled - initial,prediction_mse,100,-0.06954360385021821,0.0012478251253879471
cf_flat,coupled - initial,negative_prediction_fraction,100,0.0,0.0
cf_flat,coupled - projected_initial,treatment_0,100,-0.0024877618643220755,0.0007441268859957543
cf_flat,coupled - projected_initial,FEV10_0,100,-0.00024512887045909803,6.006038696172937e-05
cf_flat,coupled - projected_initial,treatment_1,100,-0.013255121024268205,0.0028401502455078
cf_flat,coupled - projected_initial,FEV10_1,100,-0.0012879795928992402,0.00021842266187025898
cf_flat,coupled - projected_initial,nu0,100,0.011083696241875211,0.003307838187261681
cf_flat,coupled - projected_initial,nu1,100,0.002243729630303717,0.0009807747959527646
cf_flat,coupled - projected_initial,theta,100,0.0064529865146444295,0.0011364814205484972
cf_flat,coupled - projected_initial,cumulative_relative_0,100,-0.008497239832701503,0.002187433823910114
cf_flat,coupled - projected_initial,cumulative_relative_1,100,-6.531112439152136,0.7201110351162103
cf_flat,coupled - projected_initial,baseline_relative_ISE_0,100,-0.02403477520719711,0.0037539213521903584
cf_flat,coupled - projected_initial,baseline_relative_ISE_1,100,-12.077531795702596,1.6667096916815265
cf_flat,coupled - projected_initial,prediction_mse,100,-0.06954360385021821,0.0012478251253879471
cf_flat,coupled - projected_initial,negative_prediction_fraction,100,0.0,0.0
cf_flat,fallback - projected_initial,treatment_0,100,-0.0024877618643220755,0.0007441268859957543
cf_flat,fallback - projected_initial,FEV10_0,100,-0.00024512887045909803,6.006038696172937e-05
cf_flat,fallback - projected_initial,treatment_1,100,-0.013255121024268205,0.0028401502455078
cf_flat,fallback - projected_initial,FEV10_1,100,-0.0012879795928992402,0.00021842266187025898
cf_flat,fallback - projected_initial,nu0,100,0.011083696241875211,0.003307838187261681
cf_flat,fallback - projected_initial,nu1,100,0.002243729630303717,0.0009807747959527646
cf_flat,fallback - projected_initial,theta,100,0.0064529865146444295,0.0011364814205484972
cf_flat,fallback - projected_initial,cumulative_relative_0,100,-0.008497239832701503,0.002187433823910114
cf_flat,fallback - projected_initial,cumulative_relative_1,100,-6.531112439152136,0.7201110351162103
cf_flat,fallback - projected_initial,baseline_relative_ISE_0,100,-0.02403477520719711,0.0037539213521903584
cf_flat,fallback - projected_initial,baseline_relative_ISE_1,100,-12.077531795702596,1.6667096916815265
cf_flat,fallback - projected_initial,prediction_mse,100,-0.06954360385021821,0.0012478251253879471
cf_flat,fallback - projected_initial,negative_prediction_fraction,100,0.0,0.0
cf_monotone,coupled - initial,treatment_0,100,-0.003227372165140623,0.0008277784297977562
cf_monotone,coupled - initial,FEV10_0,100,-0.00018298610470032333,7.011165564764697e-05
cf_monotone,coupled - initial,treatment_1,100,-0.01308872994671935,0.0027398483189797
